Time (ps)	X Voltage (V)
0	-4.95913E-5
0.0667128190396304	-6.10356E-5
0.133425638079261	-6.67577E-5
0.200138457118891	-8.01091E-5
0.266851276158522	-7.43871E-5
0.333564095198152	-6.10356E-5
0.400276914237782	-6.10356E-5
0.466989733277413	-4.00546E-5
0.533702552317043	-3.62399E-5
0.600415371356674	-5.14986E-5
0.667128190396304	-4.00546E-5
0.733841009435934	-8.39238E-5
0.800553828475565	-1.50681E-4
0.867266647515195	-1.90736E-4
0.933979466554826	-3.52861E-4
1.00069228559446	-5.07358E-4
1.06740510463409	-7.26704E-4
1.13411792367372	-0.00101472
1.20083074271335	-0.00144769
1.26754356175298	-0.0019684
1.33425638079261	-0.00261308
1.40096919983224	-0.00336267
1.46768201887187	-0.00418475
1.5343948379115	-0.00495151
1.60110765695113	-0.00554088
1.66782047599076	-0.00569919
1.73453329503039	-0.00507358
1.80124611407002	-0.00337793
1.86795893310965	-3.62398E-4
1.93467175214928	0.00413707
2.00138457118891	0.0101929
2.06809739022854	0.0166494
2.13481020926817	0.0227891
2.2015230283078	0.0263158
2.26823584734744	0.0251256
2.33494866638707	0.0181409
2.4016614854267	0.00579646
2.46837430446633	-0.00873572
2.53508712350596	-0.0193273
2.60179994254559	-0.0216447
2.66851276158522	-0.015648
2.73522558062485	-0.00647357
2.80193839966448	-1.90736E-5
2.86865121870411	8.48774E-4
2.93536403774374	-0.00179864
3.00207685678337	-0.00382997
3.068789675823	-0.00294115
3.13550249486263	-3.43325E-5
3.20221531390226	0.00238229
3.26892813294189	0.00231172
3.33564095198152	7.82018E-5
3.40235377102115	-0.00240327
3.46906659006078	-0.00284196
3.53577940910041	-0.00112916
3.60249222814004	0.0010891
3.66920504717968	0.00197984
3.73591786621931	0.00120927
3.80263068525894	-2.70845E-4
3.86934350429857	-0.00145341
3.9360563233382	-0.00212671
4.00276914237783	-0.00234605
4.06948196141746	-0.00209619
4.13619478045709	-9.21253E-4
4.20290759949672	0.00117493
4.26962041853635	0.00319292
4.33633323757598	0.00403407
4.40304605661561	0.00310136
4.46975887565524	6.46595E-4
4.53647169469487	-0.0019684
4.6031845137345	-0.00319101
4.66989733277413	-0.00260164
4.73661015181376	-5.74116E-4
4.80332297085339	0.00107575
4.87003578989302	0.00115586
4.93674860893265	-7.43871E-5
5.00346142797228	-0.00120164
5.07017424701192	-0.00114251
5.13688706605155	-5.72207E-5
5.20359988509118	0.00116349
5.27031270413081	0.00162888
5.33702552317044	0.00125314
5.40373834221007	6.16077E-4
5.4704511612497	3.60491E-4
5.53716398028933	2.11717E-4
5.60387679932896	-4.6921E-4
5.67058961836859	-0.00175095
5.73730243740822	-0.00300218
5.80401525644785	-0.00315668
5.87072807548748	-0.00193597
5.93744089452711	-1.12534E-4
6.00415371356674	0.00139428
6.07086653260637	0.00210191
6.137579351646	0.00202753
6.20429217068563	0.00120354
6.27100498972526	-1.77384E-4
6.33771780876489	-0.00179101
6.40443062780453	-0.00295831
6.47114344684416	-0.00301553
6.53785626588379	-0.00162698
6.60456908492342	4.08174E-4
6.67128190396305	0.00201418
6.73799472300268	0.00230981
6.80470754204231	0.00117493
6.87142036108194	-2.65123E-4
6.93813318012157	-0.00102807
7.0048459991612	-6.67576E-4
7.07155881820083	1.86921E-4
7.13827163724046	7.51499E-4
7.20498445628009	4.71117E-4
7.27169727531972	-3.05178E-4
7.33841009435935	-8.43052E-4
7.40512291339898	-7.05723E-4
7.47183573243861	-9.91826E-5
7.53854855147824	1.79292E-4
7.60526137051787	-2.80382E-4
7.6719741895575	-0.00102998
7.73868700859713	-0.0010872
7.80539982763676	1.64033E-4
7.87211264667639	0.00175477
7.93882546571603	0.00219156
8.00553828475566	0.00108529
8.07225110379529	-6.5041E-4
8.13896392283492	-0.00135422
8.20567674187455	-5.7793E-4
8.27238956091418	8.73569E-4
8.33910237995381	0.0015564
8.40581519899344	9.25068E-4
8.47252801803307	-3.9673E-4
8.5392408370727	-0.00114632
8.60595365611233	-9.80385E-4
8.67266647515196	-4.10082E-4
8.73937929419159	-4.57766E-5
8.80609211323122	3.43325E-5
8.87280493227085	2.04087E-4
8.93951775131048	5.60764E-4
9.00623057035011	8.06812E-4
9.07294338938974	6.25614E-4
9.13965620842937	-7.05724E-5
9.20636902746901	-9.86107E-4
9.27308184650864	-0.0013733
9.33979466554826	-8.67847E-4
9.4065074845879	1.71663E-5
9.47322030362753	3.81472E-4
9.53993312266716	-4.76839E-5
9.60664594170679	-5.7793E-4
9.67335876074642	-2.68938E-4
9.74007157978605	6.46595E-4
9.80678439882568	0.00131799
9.87349721786531	9.89921E-4
9.94021003690494	-8.39238E-5
10.0069228559446	-9.61307E-4
10.0736356749842	-8.92643E-4
10.1403484940238	-9.34605E-5
10.2070613130635	4.86376E-4
10.2737741321031	3.66213E-4
10.3404869511427	-9.91826E-5
10.4071997701824	-2.25068E-4
10.473912589222	5.53133E-5
10.5406254082616	1.83106E-4
10.6073382273012	-2.0218E-4
10.6740510463409	-7.76295E-4
10.7407638653805	-7.53406E-4
10.8074766844201	6.48503E-5
10.8741895034598	0.00117112
10.9409023224994	0.00158883
11.007615141539	8.92643E-4
11.0743279605787	-3.29973E-4
11.1410407796183	-0.00118638
11.2077535986579	-0.00109864
11.2744664176975	-5.68394E-4
